"","result","genre","rating","runtime","imdb","tomato","audience"
"Seven Brides for Seven Brothers","Nominee","Comedy","G",102,7.4,88,87
"On the Waterfront","Winner","Crime","NR",108,8.1,99,95
"Mister Roberts","Nominee","Comedy","NR",123,7.7,92,84
"Anatomy of a Murder","Nominee","Crime","G",161,8,100,90
"The Nun's Story","Nominee","Drama","NR",149,7.6,94,82
"Ship of Fools","Nominee","Drama","NR",149,7.1,72,78
"Deliverance","Nominee","Adventure","R",109,7.7,89,82
"Breaking Away","Nominee","Comedy","PG",101,7.7,95,88
"Ghost","Nominee","Drama","PG-13",127,7.1,74,80
"Forrest Gump","Winner","Drama","PG-13",142,8.8,71,95
"Saving Private Ryan","Nominee","Drama","R",169,8.6,93,95
"Seabiscuit","Nominee","Drama","PG-13",140,7.3,78,76
"Little Miss Sunshine","Nominee","Comedy","R",101,7.8,91,91
"The Kids Are All Right","Nominee","Comedy","R",106,7,92,74
"Inception","Nominee","Action","PG-13",148,8.8,87,91
"Boyhood","Nominee","Drama","R",165,7.9,97,81
"Dunkirk","Nominee","Action","PG-13",106,7.8,92,81
"Julius Caesar","Nominee","Biography","NR",120,7.3,95,81
"Three Coins in the Fountain","Nominee","Drama","NR",102,6.3,60,43
"The Caine Mutiny","Nominee","Drama","PG",124,7.7,92,87
"The King and I","Nominee","Biography","G",133,7.4,96,83
"The Apartment","Winner","Comedy","NR",125,8.3,93,94
"The Guns of Navarone","Nominee","Action","PG",158,7.5,92,86
"The Longest Day","Nominee","Action","G",178,7.8,87,90
"The Music Man","Nominee","Comedy","G",151,7.7,94,85
"Cleopatra","Nominee","Biography","G",192,7,62,69
"Who's Afraid of Virginia Woolf?","Nominee","Drama","R",131,8,95,91
"A Touch of Class","Nominee","Comedy","PG",106,6.5,83,64
"Jaws","Nominee","Adventure","PG",124,8,98,90
"Nashville","Nominee","Comedy","R",160,7.7,90,84
"Heaven Can Wait","Nominee","Comedy","PG",101,6.9,88,68
"Raiders of the Lost Ark","Nominee","Action","PG",115,8.4,95,96
"Dead Poets Society","Nominee","Comedy","PG",128,8.1,84,92
"Apollo 13","Nominee","Adventure","PG",140,7.6,96,87
"Winter's Bone","Nominee","Drama","R",100,7.2,94,76
"Toy Story 3","Nominee","Animation","G",103,8.2,98,89
"Midnight in Paris","Nominee","Comedy","PG-13",94,7.7,93,83
"Beasts of the Southern Wild","Nominee","Adventure","PG-13",93,7.3,87,76
"The Diary of Anne Frank","Nominee","Biography","PG",180,7.4,79,77
"Becket","Nominee","Biography","PG-13",148,7.8,76,87
"The Sound of Music","Winner","Biography","G",172,8,83,91
"Airport","Nominee","Action","G",137,6.6,73,53
"The Godfather","Winner","Crime","R",175,9.2,98,98
"Coal Miner's Daughter","Nominee","Biography","PG",124,7.5,86,86
"Tender Mercies","Nominee","Drama","PG",92,7.4,84,82
"Howards End","Nominee","Drama","PG",142,7.4,94,82
"Four Weddings and a Funeral","Nominee","Comedy","R",117,7.1,96,74
"Fargo","Nominee","Crime","R",98,8.1,94,93
"Erin Brockovich","Nominee","Biography","R",131,7.4,84,81
"The Grand Budapest Hotel","Nominee","Adventure","R",99,8.1,91,86
"Hamlet","Winner","Drama","NR",154,7.6,95,80
"Gigi","Winner","Comedy","G",115,6.7,81,74
"The Russians Are Coming, the Russians Are Coming","Nominee","Comedy","G",126,7,86,75
"Midnight Cowboy","Winner","Drama","R",113,7.8,88,88
"Braveheart","Winner","Biography","R",178,8.3,78,85
"Gladiator","Winner","Action","R",155,8.5,77,87
"Moulin Rouge!","Nominee","Drama","PG-13",127,7.6,76,89
"Up","Nominee","Animation","PG",96,8.2,98,90
"The Tree of Life","Nominee","Drama","PG-13",139,6.8,85,60
"Mad Max: Fury Road","Nominee","Action","R",120,8.1,97,85
"The Lost Weekend","Winner","Drama","NR",101,7.9,97,90
"The Best Years of Our Lives","Winner","Drama","NR",170,8.1,97,93
"Gentleman's Agreement","Winner","Drama","PG",118,7.2,76,78
"The Snake Pit","Nominee","Drama","NR",108,7.6,100,83
"All the King's Men","Winner","Drama","PG",110,7.5,95,78
"Battleground","Nominee","Action","NR",118,7.5,75,82
"King Solomon's Mines","Nominee","Action","G",103,6.8,92,59
"Picnic","Nominee","Drama","PG",115,7.1,50,54
"Giant","Nominee","Drama","G",201,7.6,95,87
"Ben-Hur","Winner","Adventure","G",212,8.1,86,89
"Mutiny on the Bounty","Winner","Adventure","NR",178,7.2,68,73
"Fiddler on the Roof","Nominee","Drama","G",181,8,83,92
"One Flew Over the Cuckoo's Nest","Winner","Drama","R",133,8.7,94,96
"Rocky","Winner","Drama","PG",120,8.1,94,69
"Network","Nominee","Drama","R",121,8.1,91,93
"The Goodbye Girl","Nominee","Comedy","PG",111,7.4,84,84
"Terms of Endearment","Winner","Comedy","PG",132,7.4,78,83
"The Killing Fields","Nominee","Biography","R",141,7.8,93,92
"The Last Emperor","Winner","Biography","PG-13",163,7.7,89,88
"Beauty and the Beast","Nominee","Animation","G",84,8,94,92
"The Crying Game","Nominee","Crime","R",112,7.3,94,78
"The Remains of the Day","Nominee","Drama","PG",134,7.8,95,89
"The Piano","Nominee","Drama","R",121,7.6,92,86
"The English Patient","Winner","Drama","R",162,7.4,85,83
"Shine","Nominee","Biography","PG-13",105,7.7,91,90
"Elizabeth","Nominee","Biography","R",124,7.4,82,86
"The Insider","Nominee","Biography","R",157,7.8,96,90
"In the Bedroom","Nominee","Crime","R",131,7.4,93,81
"Master and Commander: The Far Side of the World","Nominee","Action","PG-13",138,7.4,85,80
"Finding Neverland","Nominee","Biography","PG",106,7.7,83,87
"No Country for Old Men","Winner","Crime","R",122,8.1,93,86
"Milk","Nominee","Biography","R",128,7.5,93,89
"The Blind Side","Nominee","Biography","PG-13",129,7.6,66,85
"127 Hours","Nominee","Biography","R",94,7.5,93,85
"The King's Speech","Winner","Biography","PG-13",118,8,94,92
"The Descendants","Nominee","Comedy","R",115,7.3,88,79
"Hugo","Nominee","Drama","PG",126,7.5,93,78
"The Artist","Winner","Comedy","PG-13",100,7.9,95,87
"Life of Pi","Nominee","Adventure","PG",127,7.9,87,84
"Silver Linings Playbook","Nominee","Comedy","R",122,7.7,92,86
"Dallas Buyers Club","Nominee","Biography","R",117,8,93,91
"Nebraska","Nominee","Adventure","R",115,7.7,91,83
"Philomena","Nominee","Biography","PG-13",98,7.6,90,89
"The Theory of Everything","Nominee","Biography","PG-13",123,7.7,80,84
"The Imitation Game","Nominee","Biography","PG-13",114,8,89,91
"Brooklyn","Nominee","Drama","PG-13",117,7.5,97,87
"Spotlight","Winner","Biography","R",129,8.1,97,93
"Hacksaw Ridge","Nominee","Biography","R",139,8.1,84,91
"Arrival","Nominee","Drama","PG-13",116,7.9,94,82
"Lion","Nominee","Biography","PG-13",118,8,84,91
"Lady Bird","Nominee","Comedy","R",94,7.4,99,79
"Bohemian Rhapsody","Nominee","Biography","PG-13",134,7.9,60,85
"Green Book","Winner","Biography","PG-13",130,8.2,77,91
"Roma","Nominee","Drama","R",135,7.7,96,72
"The Favourite","Nominee","Biography","R",119,7.5,93,69
"Mildred Pierce","Nominee","Crime","NR",111,8,86,90
"An American in Paris","Winner","Drama","G",114,7.2,96,79
"The Ten Commandments","Nominee","Adventure","G",220,7.9,89,87
"Around the World in 80 Days","Winner","Adventure","G",175,6.8,69,57
"The Bridge on the River Kwai","Winner","Adventure","PG",161,8.1,95,93
"The Alamo","Nominee","Adventure","NR",162,6.8,52,63
"West Side Story","Winner","Crime","PG",153,7.5,92,84
"Romeo and Juliet","Nominee","Drama","PG",138,7.6,95,74
"The Lion in Winter","Nominee","Biography","PG",134,7.9,90,90
"Butch Cassidy and the Sundance Kid","Nominee","Biography","PG",110,8,90,92
"The French Connection","Winner","Action","R",104,7.7,98,87
"The Last Picture Show","Nominee","Drama","R",118,8,100,90
"Tess","Nominee","Drama","PG",186,7.3,81,78
"The Elephant Man","Nominee","Biography","PG",124,8.1,92,93
"Children of a Lesser God","Nominee","Drama","R",119,7.2,82,79
"The Mission","Nominee","Adventure","PG",125,7.4,64,87
"American Beauty","Winner","Drama","R",122,8.3,87,93
"Mystic River","Nominee","Crime","R",138,7.9,88,89
"Ray","Nominee","Biography","PG-13",152,7.7,80,87
"The Departed","Winner","Crime","R",151,8.5,91,94
"The Queen","Nominee","Biography","PG-13",103,7.3,96,76
"Babel","Nominee","Drama","R",143,7.4,69,77
"Michael Clayton","Nominee","Crime","R",119,7.2,91,69
"A Serious Man","Nominee","Comedy","R",106,7.1,90,68
"An Education","Nominee","Drama","PG-13",100,7.3,94,80
"The Social Network","Nominee","Biography","PG-13",120,7.7,96,86
"Argo","Winner","Biography","R",120,7.7,96,90
"Gravity","Nominee","Drama","PG-13",91,7.7,96,80
"Captain Phillips","Nominee","Adventure","PG-13",134,7.8,93,89
"12 Years a Slave","Winner","Biography","R",134,8.1,95,90
"Whiplash","Nominee","Drama","R",106,8.5,94,94
"The Martian","Nominee","Adventure","PG-13",144,8,91,91
"Bridge of Spies","Nominee","Drama","PG-13",142,7.6,90,87
"Room","Nominee","Drama","R",118,8.1,93,93
"Moonlight","Winner","Drama","R",111,7.4,98,79
"A Star Is Born","Nominee","Drama","R",136,7.6,90,79
"The Red Shoes","Nominee","Drama","R",135,8.1,97,92
"Johnny Belinda","Nominee","Drama","NR",102,7.8,89,88
"A Streetcar Named Desire","Nominee","Drama","PG",122,8,98,90
"Roman Holiday","Nominee","Comedy","NR",118,8,97,93
"The Robe","Nominee","Drama","G",135,6.8,33,69
"Cat on a Hot Tin Roof","Nominee","Drama","PG",108,8,97,92
"The Defiant Ones","Nominee","Crime","PG",96,7.6,83,87
"The Hustler","Nominee","Drama","NR",134,8,98,93
"Funny Girl","Nominee","Biography","G",151,7.4,93,85
"Five Easy Pieces","Nominee","Drama","R",98,7.5,88,84
"Dog Day Afternoon","Nominee","Biography","R",125,8,96,90
"Midnight Express","Nominee","Biography","R",121,7.6,96,89
"Atlantic City","Nominee","Crime","R",104,7.3,100,77
"Ordinary People","Winner","Drama","R",124,7.7,89,88
"Chariots of Fire","Winner","Biography","PG",125,7.2,82,80
"Amadeus","Winner","Biography","R",160,8.3,93,95
"A Soldier's Story","Nominee","Crime","PG",101,7.2,90,81
"Places in the Heart","Nominee","Drama","PG",111,7.4,89,83
"Fatal Attraction","Nominee","Drama","R",119,6.9,76,72
"My Left Foot","Nominee","Biography","R",103,7.9,98,92
"The Shawshank Redemption","Nominee","Drama","R",142,9.3,91,98
"Quiz Show","Nominee","Biography","PG-13",133,7.5,96,87
"Pulp Fiction","Nominee","Crime","R",154,8.9,92,96
"L.A. Confidential","Nominee","Crime","R",138,8.2,99,94
"Crash","Winner","Crime","R",112,7.7,74,88
"Sideways","Nominee","Comedy","R",127,7.5,97,79
"Capote","Nominee","Biography","R",114,7.3,90,82
"Atonement","Nominee","Drama","R",123,7.8,83,80
"Moneyball","Nominee","Biography","PG-13",133,7.6,94,86
